date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
13/07/2012,0.8 ( 14.29 %),103,"318,600","3,093.2",33,"109,700","3,324","208,900"
12/07/2012,0.7 ( 16.67 %),140,"433,300","3,095",60,"283,600","4,727","149,700"
11/07/2012,0.6 ( -14.29 %),37,"32,400",875.68,21,"180,700","8,605","-148,300"
10/07/2012,0.7 ( -12.5 %),10,"5,000",500,25,"169,500","6,780","-164,500"
09/07/2012,0.8 ( -11.11 %),12,"15,300","1,275",28,"261,600","9,343","-246,300"
06/07/2012,0.9 ( -10 %),15,"11,000",733.33,44,"272,400","6,191","-261,400"
05/07/2012,1 ( -9.09 %),44,"200,500","4,556.82",81,"457,100","5,643","-256,600"
04/07/2012,1.1 ( -8.33 %),8,"16,800","2,100",52,"417,100","8,021","-400,300"
03/07/2012,1.2 ( -7.69 %),5,"1,100",220,57,"378,300","6,637","-377,200"
02/07/2012,1.3 ( -7.14 %),11,"18,600","1,690.91",71,"367,000","5,169","-348,400"
29/06/2012,1.4 ( -6.67 %),7,"9,700","1,385.71",73,"388,700","5,325","-379,000"
28/06/2012,1.5 ( -6.25 %),4,"4,600","1,150",91,"451,900","4,966","-447,300"
27/06/2012,1.6 ( -5.88 %),6,"17,400","2,900",98,"336,100","3,430","-318,700"
26/06/2012,1.7 ( -5.56 %),4,"3,400",850,104,"378,000","3,635","-374,600"
25/06/2012,1.8 ( -5.26 %),5,"12,600","2,520",94,"268,300","2,854","-255,700"
22/06/2012,1.9 ( -5 %),5,700,140,108,"461,100","4,269","-460,400"
21/06/2012,2 ( -4.76 %),9,"53,900","5,988.89",141,"512,800","3,637","-458,900"
20/06/2012,2.1 ( -4.55 %),6,"5,400",900,118,"414,500","3,513","-409,100"
19/06/2012,2.2 ( 0 %),25,"51,800","2,072",42,"110,800","2,638","-59,000"
18/06/2012,2.2 ( 0 %),32,"31,000",968.75,40,"116,000","2,900","-85,000"
15/06/2012,2.2 ( 4.76 %),81,"207,300","2,559.26",46,"175,000","3,804","32,300"
14/06/2012,2.1 ( -4.55 %),14,"9,600",685.71,35,"134,000","3,829","-124,400"
13/06/2012,2.2 ( -4.35 %),25,"34,900","1,396",59,"106,100","1,798","-71,200"
12/06/2012,2.3 ( 0 %),50,"84,000","1,680",63,"110,600","1,756","-26,600"
