date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
17/12/2014,41.5,--,0(0.00 %),0,0,0,0,41.5,41.5,41.5
16/12/2014,41.5,--,0(0.00 %),0,0,0,0,41.5,41.5,41.5
27/08/2013,35.8,--,-2.6(-6.77 %),800,0.03,0,0,35.8,35.8,35.8
26/08/2013,38.4,--,2.5(6.96 %),200,0.01,0,0,38.4,38.4,38.4
23/08/2013,35.9,--,-2.7(-6.99 %),420,0.02,0,0,35.9,35.9,35.9
22/08/2013,38.6,--,-2.9(-6.99 %),"2,310",0.09,0,0,38.6,38.6,38.6
21/08/2013,41.5,--,-3.1(-6.95 %),700,0.03,0,0,41.5,41.5,41.5
20/08/2013,44.6,--,-0.1(-0.22 %),20,0,0,0,44.6,44.6,44.6
19/08/2013,44.7,--,-3.3(-6.87 %),"1,240",0.06,0,0,44.7,44.7,44.7
16/08/2013,48,--,0(0.00 %),0,0,0,0,48,48,48
15/08/2013,48,--,3(6.67 %),550,0.03,0,0,45,48,45
14/08/2013,45,--,0(0.00 %),0,0,0,0,45,45,45
13/08/2013,45,--,0(0.00 %),0,0,0,0,45,45,45
12/08/2013,45,--,2.5(5.88 %),200,0.01,0,0,45,45,45
09/08/2013,42.5,--,0(0.00 %),0,0,0,0,42.5,42.5,42.5
08/08/2013,42.5,--,-3.1(-6.80 %),10,0,0,0,42.5,42.5,42.5
07/08/2013,45.6,--,-3.4(-6.94 %),20,0,0,0,45.6,45.6,45.6
06/08/2013,49,--,3(6.52 %),30,0,0,0,49,49,49
05/08/2013,46,--,2.2(5.02 %),20,0,0,0,40.8,46,40.8
02/08/2013,43.8,--,-3.2(-6.81 %),360,0.02,0,0,43.8,43.8,43.8
01/08/2013,47,--,-3.5(-6.93 %),430,0.02,0,0,47,47,47
31/07/2013,50.5,--,-3.5(-6.48 %),60,0,0,0,52,52,50.5
30/07/2013,54,--,0(0.00 %),70,0,0,0,50.5,54,50.5
29/07/2013,54,--,0(0.00 %),0,0,0,0,54,54,54
26/07/2013,54,--,-2(-3.57 %),50,0,0,0,52.5,54,52.5
25/07/2013,56,--,-0.5(-0.88 %),80,0,0,0,53,56,53
24/07/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
23/07/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
22/07/2013,56.5,--,3.5(6.60 %),120,0.01,0,0,49.5,56.5,49.3
19/07/2013,53,--,-3(-5.36 %),100,0.01,0,0,53,53,53
18/07/2013,56,--,0(0.00 %),0,0,0,0,56,56,56
17/07/2013,56,--,-4(-6.67 %),10,0,0,0,56,56,56
16/07/2013,60,--,0(0.00 %),0,0,0,0,60,60,60
15/07/2013,60,--,0(0.00 %),0,0,0,0,60,60,60
12/07/2013,60,--,0(0.00 %),0,0,0,0,60,60,60
11/07/2013,60,--,0(0.00 %),0,0,0,0,60,60,60
10/07/2013,60,--,1.5(2.56 %),10,0,0,0,60,60,60
09/07/2013,58.5,--,0(0.00 %),0,0,0,0,58.5,58.5,58.5
08/07/2013,58.5,--,0(0.00 %),0,0,0,0,58.5,58.5,58.5
05/07/2013,58.5,--,0(0.00 %),0,0,0,0,58.5,58.5,58.5
04/07/2013,58.5,--,0.5(0.86 %),40,0,0,0,58.5,58.5,58.5
03/07/2013,58,--,0(0.00 %),0,0,0,0,58,58,58
02/07/2013,58,--,0(0.00 %),0,0,0,0,58,58,58
01/07/2013,58,--,3(5.45 %),10,0,0,0,58,58,58
28/06/2013,55,--,0(0.00 %),0,0,0,0,55,55,55
27/06/2013,55,--,-4(-6.78 %),70,0,0,0,55,55,55
26/06/2013,59,--,0(0.00 %),0,0,0,0,59,59,59
25/06/2013,59,--,0(0.00 %),0,0,0,0,59,59,59
24/06/2013,59,--,0(0.00 %),10,0,0,0,59,59,59
21/06/2013,59,--,0(0.00 %),20,0,0,0,57,59,57
20/06/2013,59,--,1(1.72 %),10,0,0,0,59,59,59
19/06/2013,58,--,0(0.00 %),0,0,0,0,58,58,58
18/06/2013,58,--,3(5.45 %),50,0,0,0,52,58,52
17/06/2013,55,--,0(0.00 %),0,0,0,0,55,55,55
14/06/2013,55,--,2.5(4.76 %),640,0.03,0,0,50,55,50
13/06/2013,52.5,--,0(0.00 %),"28,100",1.41,0,0,50,52.5,49
12/06/2013,52.5,--,-3.5(-6.25 %),30,0,0,0,52.5,52.5,52.5
11/06/2013,56,--,2.5(4.67 %),20,0,0,0,56,56,56
10/06/2013,53.5,--,3.5(7.00 %),"15,600",0.78,"1,378,457",68.92,50,53.5,50
07/06/2013,50,--,0(0.00 %),0,0,0,0,50,50,50
06/06/2013,50,--,3(6.38 %),50,0,0,0,50,50,50
05/06/2013,47,--,-2.5(-5.05 %),"1,530",0.08,0,0,49,50,47
04/06/2013,49.5,--,-3.5(-6.60 %),710,0.04,0,0,49.5,49.5,49.5
03/06/2013,53,--,0(0.00 %),0,0,0,0,53,53,53
31/05/2013,53,--,-3.5(-6.19 %),140,0.01,0,0,56.5,60,53
30/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
29/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
28/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
27/05/2013,56.5,--,3.5(6.60 %),80,0,0,0,56.5,56.5,56.5
24/05/2013,53,--,0(0.00 %),0,0,0,0,53,53,53
23/05/2013,53,--,0(0.00 %),0,0,0,0,53,53,53
22/05/2013,53,--,-3.5(-6.19 %),130,0.01,0,0,60,60,53
21/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
20/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
17/05/2013,56.5,--,0(0.00 %),0,0,0,0,56.5,56.5,56.5
16/05/2013,56.5,--,-4(-6.61 %),60,0,0,0,56.5,56.5,56.5
15/05/2013,60.5,--,-4.5(-6.92 %),10,0,0,0,60.5,60.5,60.5
14/05/2013,65,--,-3.5(-5.11 %),60,0,0,0,64,65,64
13/05/2013,68.5,--,0(0.00 %),0,0,0,0,68.5,68.5,68.5
10/05/2013,68.5,--,0(0.00 %),0,0,0,0,68.5,68.5,68.5
09/05/2013,68.5,--,-1(-1.44 %),10,0,0,0,68.5,68.5,68.5
08/05/2013,69.5,--,4.5(6.92 %),"1,500",0.1,0,0,69.5,69.5,69.5
07/05/2013,65,--,2(3.17 %),50,0,0,0,65,65,65
06/05/2013,63,--,3.5(5.88 %),10,0,0,0,63,63,63
03/05/2013,59.5,--,3.5(6.25 %),80,0,0,0,52.5,59.5,52.5
02/05/2013,56,--,3(5.66 %),530,0.03,0,0,49.5,56,49.3
26/04/2013,53,--,3.2(6.43 %),930,0.04,0,0,46.4,53,46.4
25/04/2013,49.8,--,-3.7(-6.92 %),150,0.01,0,0,50,53.5,49.8
24/04/2013,53.5,--,-3.5(-6.14 %),450,0.02,0,0,60,60,53.5
23/04/2013,57,--,-4(-6.56 %),10,0,0,0,57,57,57
22/04/2013,61,--,0(0.00 %),0,0,0,0,61,61,61
18/04/2013,61,--,0(0.00 %),0,0,0,0,61,61,61
17/04/2013,61,--,-4(-6.15 %),140,0.01,0,0,61,61,61
16/04/2013,65,--,-4.5(-6.47 %),10,0,0,0,65,65,65
15/04/2013,69.5,--,4.5(6.92 %),10,0,0,0,69.5,69.5,69.5
12/04/2013,65,--,0(0.00 %),0,0,0,0,65,65,65
11/04/2013,65,--,0(0.00 %),0,0,0,0,65,65,65
10/04/2013,65,--,0(0.00 %),0,0,0,0,65,65,65
09/04/2013,65,--,0(0.00 %),0,0,0,0,65,65,65
08/04/2013,65,--,0(0.00 %),0,0,0,0,65,65,65
05/04/2013,65,--,3(4.84 %),10,0,0,0,65,65,65
04/04/2013,62,--,4(6.90 %),40,0,0,0,62,62,54
03/04/2013,58,--,3(5.45 %),30,0,0,0,58,58,58
02/04/2013,55,--,0(0.00 %),0,0,0,0,55,55,55
01/04/2013,55,--,0(0.00 %),0,0,0,0,55,55,55
29/03/2013,55,--,0(0.00 %),0,0,0,0,55,55,55
28/03/2013,55,--,2.5(4.76 %),50,0,0,0,55,55,55
27/03/2013,52.5,--,-2.5(-4.55 %),800,0.04,0,0,52.5,52.5,52.5
26/03/2013,55,--,1(1.85 %),70,0,0,0,51.5,55,51
25/03/2013,54,--,-3.5(-6.09 %),10,0,0,0,54,54,54
22/03/2013,57.5,--,-4(-6.50 %),300,0.02,0,0,57.5,57.5,57.5
21/03/2013,61.5,--,0(0.00 %),0,0,0,0,61.5,61.5,61.5
20/03/2013,61.5,--,0(0.00 %),0,0,0,0,61.5,61.5,61.5
19/03/2013,61.5,--,0(0.00 %),0,0,0,0,61.5,61.5,61.5
18/03/2013,61.5,--,0(0.00 %),0,0,0,0,61.5,61.5,61.5
15/03/2013,61.5,--,-4.5(-6.82 %),110,0.01,0,0,70.5,70.5,61.5
14/03/2013,66,--,0(0.00 %),940,0.07,0,0,70,70,66
13/03/2013,66,--,4(6.45 %),10,0,0,0,66,66,66
12/03/2013,62,--,0.5(0.81 %),100,0.01,0,0,62,62,62
11/03/2013,61.5,--,4(6.96 %),10,0,0,0,61.5,61.5,61.5
08/03/2013,57.5,--,-4(-6.50 %),10,0,0,0,57.5,57.5,57.5
07/03/2013,61.5,--,4(6.96 %),860,0.05,0,0,53.5,61.5,53.5
06/03/2013,57.5,--,0(0.00 %),50,0,0,0,57.5,57.5,57.5
05/03/2013,57.5,--,-4(-6.50 %),10,0,0,0,57.5,57.5,57.5
04/03/2013,61.5,--,-4.5(-6.82 %),10,0,0,0,61.5,61.5,61.5
01/03/2013,66,--,0(0.00 %),0,0,0,0,66,66,66
28/02/2013,66,--,0(0.00 %),0,0,0,0,66,66,66
