date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
16/12/2014,41.5(0.00 %),0,0,0,0,0,0,0,0%
27/08/2013,35.8(-6.77 %),-780,-0.03,0,0,780,0.03,"19,500",48.89%
26/08/2013,38.4(6.96 %),0,0,0,0,0,0,"18,720",48.9%
23/08/2013,35.9(-6.99 %),0,0,0,0,0,0,"18,720",48.9%
22/08/2013,38.6(-6.99 %),"-2,300",-0.09,0,0,"2,300",0.09,"18,720",48.9%
21/08/2013,41.5(-6.95 %),-700,-0.03,0,0,700,0.03,"16,420",48.91%
20/08/2013,44.6(-0.22 %),-20,-0,0,0,20,0,"15,720",48.91%
19/08/2013,44.7(-6.87 %),0,0,0,0,0,0,"15,700",48.91%
16/08/2013,48(0.00 %),0,0,0,0,0,0,"15,700",48.91%
15/08/2013,48(6.67 %),-450,-0.02,0,0,450,0.02,"15,700",48.91%
14/08/2013,45(0.00 %),0,0,0,0,0,0,"15,250",48.92%
13/08/2013,45(0.00 %),0,0,0,0,0,0,"15,250",48.92%
12/08/2013,45(5.88 %),0,0,0,0,0,0,"15,250",48.92%
09/08/2013,42.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
08/08/2013,42.5(-6.80 %),0,0,0,0,0,0,"15,250",48.92%
07/08/2013,45.6(-6.94 %),0,0,0,0,0,0,"15,250",48.92%
06/08/2013,49(6.52 %),0,0,0,0,0,0,"15,250",48.92%
05/08/2013,46(5.02 %),0,0,0,0,0,0,"15,250",48.92%
02/08/2013,43.8(-6.81 %),0,0,0,0,0,0,"15,250",48.92%
01/08/2013,47(-6.93 %),0,0,0,0,0,0,"15,250",48.92%
31/07/2013,50.5(-6.48 %),0,0,0,0,0,0,"15,250",48.92%
30/07/2013,54(0.00 %),0,0,0,0,0,0,"15,250",48.92%
29/07/2013,54(0.00 %),0,0,0,0,0,0,"15,250",48.92%
26/07/2013,54(-3.57 %),0,0,0,0,0,0,"15,250",48.92%
25/07/2013,56(-0.88 %),0,0,0,0,0,0,"15,250",48.92%
24/07/2013,56.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
23/07/2013,56.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
22/07/2013,56.5(6.60 %),0,0,0,0,0,0,"15,250",48.92%
19/07/2013,53(-5.36 %),0,0,0,0,0,0,"15,250",48.92%
18/07/2013,56(0.00 %),0,0,0,0,0,0,"15,250",48.92%
17/07/2013,56(-6.67 %),0,0,0,0,0,0,"15,250",48.92%
16/07/2013,60(0.00 %),0,0,0,0,0,0,"15,250",48.92%
15/07/2013,60(0.00 %),0,0,0,0,0,0,"15,250",48.92%
12/07/2013,60(0.00 %),0,0,0,0,0,0,"15,250",48.92%
11/07/2013,60(0.00 %),0,0,0,0,0,0,"15,250",48.92%
10/07/2013,60(2.56 %),0,0,0,0,0,0,"15,250",48.92%
09/07/2013,58.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
08/07/2013,58.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
05/07/2013,58.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
04/07/2013,58.5(0.86 %),0,0,0,0,0,0,"15,250",48.92%
03/07/2013,58(0.00 %),0,0,0,0,0,0,"15,250",48.92%
02/07/2013,58(0.00 %),0,0,0,0,0,0,"15,250",48.92%
01/07/2013,58(5.45 %),0,0,0,0,0,0,"15,250",48.92%
28/06/2013,55(0.00 %),0,0,0,0,0,0,"15,250",48.92%
27/06/2013,55(-6.78 %),0,0,0,0,0,0,"15,250",48.92%
26/06/2013,59(0.00 %),0,0,0,0,0,0,"15,250",48.92%
25/06/2013,59(0.00 %),0,0,0,0,0,0,"15,250",48.92%
24/06/2013,59(0.00 %),0,0,0,0,0,0,"15,250",48.92%
21/06/2013,59(0.00 %),0,0,0,0,0,0,"15,250",48.92%
20/06/2013,59(1.72 %),0,0,0,0,0,0,"15,250",48.92%
19/06/2013,58(0.00 %),0,0,0,0,0,0,"15,250",48.92%
18/06/2013,58(5.45 %),0,0,0,0,0,0,"15,250",48.92%
17/06/2013,55(0.00 %),0,0,0,0,0,0,"15,250",48.92%
14/06/2013,55(4.76 %),0,0,0,0,0,0,"15,250",48.92%
13/06/2013,52.5(0.00 %),0,0,0,0,0,0,"15,250",48.92%
12/06/2013,52.5(-6.25 %),0,0,0,0,0,0,"15,250",48.92%
11/06/2013,56(4.67 %),0,0,0,0,0,0,"15,250",48.92%
10/06/2013,53.5(7.00 %),0,0,0,0,0,0,"15,250",48.92%
07/06/2013,50(0.00 %),0,0,0,0,0,0,"15,250",48.92%
06/06/2013,50(6.38 %),0,0,0,0,0,0,"15,250",48.92%
05/06/2013,47(-5.05 %),0,0,0,0,0,0,"15,250",48.92%
04/06/2013,49.5(-6.60 %),0,0,0,0,0,0,"15,250",48.92%
03/06/2013,53(0.00 %),0,0,0,0,0,0,"15,250",48.92%
31/05/2013,53(-6.19 %),0,0,0,0,0,0,"14,940",48.92%
30/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
29/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
28/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
27/05/2013,56.5(6.60 %),0,0,0,0,0,0,"14,940",48.92%
24/05/2013,53(0.00 %),0,0,0,0,0,0,"14,940",48.92%
23/05/2013,53(0.00 %),0,0,0,0,0,0,"14,940",48.92%
22/05/2013,53(-6.19 %),0,0,0,0,0,0,"14,940",48.92%
21/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
20/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
17/05/2013,56.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
16/05/2013,56.5(-6.61 %),0,0,0,0,0,0,"14,940",48.92%
15/05/2013,60.5(-6.92 %),0,0,0,0,0,0,"14,940",48.92%
14/05/2013,65(-5.11 %),0,0,0,0,0,0,"14,940",48.92%
13/05/2013,68.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
10/05/2013,68.5(0.00 %),0,0,0,0,0,0,"14,940",48.92%
09/05/2013,68.5(-1.44 %),0,0,0,0,0,0,"14,940",48.92%
08/05/2013,69.5(6.92 %),0,0,0,0,0,0,"14,940",48.92%
07/05/2013,65(3.17 %),0,0,0,0,0,0,"14,940",48.92%
06/05/2013,63(5.88 %),0,0,0,0,0,0,"14,940",48.92%
03/05/2013,59.5(6.25 %),0,0,0,0,0,0,"14,940",48.92%
02/05/2013,56(5.66 %),-220,-0.01,0,0,220,0.01,"14,940",48.92%
26/04/2013,53(6.43 %),0,0,0,0,0,0,"14,230",48.92%
25/04/2013,49.8(-6.92 %),-90,-0,0,0,90,0,"14,230",48.92%
24/04/2013,53.5(-6.14 %),0,0,0,0,0,0,"14,140",48.92%
23/04/2013,57(-6.56 %),0,0,0,0,0,0,"14,140",48.92%
22/04/2013,61(0.00 %),0,0,0,0,0,0,"14,140",48.92%
18/04/2013,61(0.00 %),0,0,0,0,0,0,"14,140",48.92%
17/04/2013,61(-6.15 %),0,0,0,0,0,0,"14,140",48.92%
16/04/2013,65(-6.47 %),-10,-0,0,0,10,0,"14,140",48.92%
15/04/2013,69.5(6.92 %),0,0,0,0,0,0,"14,130",48.92%
12/04/2013,65(0.00 %),0,0,0,0,0,0,"14,130",48.92%
11/04/2013,65(0.00 %),0,0,0,0,0,0,"14,130",48.92%
10/04/2013,65(0.00 %),0,0,0,0,0,0,"14,130",48.92%
09/04/2013,65(0.00 %),0,0,0,0,0,0,"14,130",48.92%
08/04/2013,65(0.00 %),0,0,0,0,0,0,"14,130",48.92%
05/04/2013,65(4.84 %),0,0,0,0,0,0,"14,130",48.92%
04/04/2013,62(6.90 %),0,0,0,0,0,0,"14,130",48.92%
03/04/2013,58(5.45 %),0,0,0,0,0,0,"14,130",48.92%
02/04/2013,55(0.00 %),0,0,0,0,0,0,"14,130",48.92%
01/04/2013,55(0.00 %),0,0,0,0,0,0,"14,130",48.92%
29/03/2013,55(0.00 %),0,0,0,0,0,0,"14,130",48.92%
28/03/2013,55(4.76 %),0,0,0,0,0,0,"14,930",48.92%
27/03/2013,52.5(-4.55 %),-800,-0.04,0,0,800,0.04,"14,930",48.92%
26/03/2013,55(1.85 %),0,0,0,0,0,0,"14,130",48.92%
25/03/2013,54(-6.09 %),0,0,0,0,0,0,"14,130",48.92%
22/03/2013,57.5(-6.50 %),0,0,0,0,0,0,"14,130",48.92%
21/03/2013,61.5(0.00 %),0,0,0,0,0,0,"14,130",48.92%
