date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
06/09/2024,2.7,--,0(0.00 %),"16,090",0.04,0,0,2.7,2.7,2.7
05/09/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
04/09/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
30/08/2024,2.8,--,0(0.00 %),"26,113",0.07,0,0,2.6,2.8,2.5
29/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
28/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
27/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
26/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
23/08/2024,2.7,--,-0.3(-10.00 %),"36,130",0.1,0,0,3,3,2.7
22/08/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
21/08/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
20/08/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
19/08/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
16/08/2024,3,--,0.2(7.14 %),133,0,0,0,3,3,3
15/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
14/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
13/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
12/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
09/08/2024,2.8,--,0(0.00 %),"3,901",0.01,0,0,2.8,2.8,2.8
09/08/2024,2.8,--,0(0.00 %),"3,901",0.01,0,0,2.8,2.8,2.8
08/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
07/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
06/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
05/08/2024,2.8,--,0(0.00 %),0,0,0,0,2.8,2.8,2.8
02/08/2024,2.8,--,-0.1(-3.45 %),110,0,0,0,2.8,2.8,2.8
01/08/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
31/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
30/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
29/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
26/07/2024,2.9,--,0(0.00 %),2,0,0,0,2.9,2.9,2.9
25/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
24/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
23/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
22/07/2024,2.9,--,0(0.00 %),0,0,0,0,2.9,2.9,2.9
19/07/2024,2.9,--,-0.1(-3.33 %),"22,401",0.06,0,0,2.9,3,2.9
18/07/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
17/07/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
16/07/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
15/07/2024,3,--,0(0.00 %),0,0,0,0,3,3,3
12/07/2024,2.9,--,0.2(7.41 %),"2,085",0.01,0,0,3,3,2.9
11/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
10/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
09/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
08/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
05/07/2024,2.9,--,0.2(7.41 %),"4,623",0.01,0,0,2.9,3,2.6
04/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
03/07/2024,2.7,--,0(0.00 %),0,0,0,0,2.7,2.7,2.7
