date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,40,--,0.1(0.25 %),"3,020",0.12,"100,000",3.65,39.8,40,39.8
06/09/2024,39.8,--,-0.2(-0.50 %),"6,102",0.24,0,0,40,40,39.8
05/09/2024,40,--,0(0.00 %),"6,700",0.27,0,0,40,40,39.9
04/09/2024,40,--,0(0.00 %),"3,553",0.14,0,0,40,40,40
30/08/2024,40,--,0(0.00 %),"15,500",0.62,"12,320",0.5,40,40,39.9
29/08/2024,40,--,0(0.00 %),"11,111",0.44,0,0,40,40,39.8
28/08/2024,40,--,-0.1(-0.25 %),"4,047",0.16,0,0,40,40,39.9
27/08/2024,40,--,-0.5(-1.23 %),"17,640",0.71,0,0,40,40.4,40
26/08/2024,40.5,--,0(0.00 %),"1,206",0.05,0,0,40.6,40.6,40.5
23/08/2024,40.5,--,-0.1(-0.25 %),"6,001",0.24,0,0,40.5,40.7,40.2
22/08/2024,40.6,--,0.1(0.25 %),170,0.01,0,0,40.6,40.6,40.6
21/08/2024,40.5,--,0(0.00 %),"1,518",0.06,0,0,40.6,40.6,40.5
20/08/2024,40.5,--,0(0.00 %),"15,041",0.61,0,0,40.5,40.6,40.5
19/08/2024,40.5,--,0(0.00 %),"2,138",0.09,0,0,40.5,40.5,40.5
16/08/2024,40.5,--,0(0.00 %),960,0.04,0,0,40.5,40.5,40.5
15/08/2024,40.6,--,0(0.00 %),"6,222",0.25,0,0,40.5,40.6,40.3
14/08/2024,40.5,--,-0.1(-0.25 %),700,0.03,"45,000",1.56,40.6,40.6,40.5
13/08/2024,40.7,--,0.1(0.25 %),"2,451",0.1,"100,000",3.46,40.8,40.8,40.5
12/08/2024,40.5,--,0(0.00 %),551,0.02,"55,000",1.9,40.8,40.8,40.5
09/08/2024,40.4,--,-0.2(-0.49 %),"2,601",0.11,0,0,40.5,40.5,40.4
09/08/2024,40.4,--,-0.2(-0.49 %),"2,601",0.11,0,0,40.5,40.5,40.4
08/08/2024,40.6,--,0(0.00 %),"27,124",1.1,0,0,40.6,40.6,40.6
07/08/2024,40.5,--,-0.3(-0.74 %),"4,107",0.17,"40,000",1.39,40.6,40.6,40.5
06/08/2024,40.8,--,0.3(0.74 %),"2,604",0.11,0,0,40.7,40.9,40.7
05/08/2024,40.5,--,-0.2(-0.49 %),"1,813",0.07,0,0,40,40.7,40
02/08/2024,41,--,0.3(0.74 %),"2,307",0.09,0,0,40.7,41,40.5
01/08/2024,40.7,--,0(0.00 %),"2,002",0.08,0,0,40.7,40.7,40.7
31/07/2024,40.7,--,0.3(0.74 %),332,0.01,0,0,40.7,40.7,40.7
30/07/2024,40.7,--,0.4(0.99 %),"3,500",0.14,0,0,40.5,40.7,40.3
29/07/2024,40.2,--,0.1(0.25 %),"3,866",0.16,0,0,40,41,40
