date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,18,--,-0.05(-0.28 %),"430,700",7.71,0,0,17.95,18,17.8
06/09/2024,18.05,--,0(0.00 %),"521,700",9.39,0,0,18,18.25,17.85
05/09/2024,18.05,--,-0.05(-0.28 %),"993,600",18.07,0,0,18.3,18.4,17.85
04/09/2024,18.1,--,-0.35(-1.90 %),"1,150,000",20.83,0,0,18,18.3,17.95
30/08/2024,18.45,--,0.1(0.54 %),"641,100",11.81,0,0,18.5,18.55,18.35
29/08/2024,18.35,--,-0.2(-1.08 %),"602,000",11.13,0,0,18.55,18.7,18.3
28/08/2024,18.55,--,0.05(0.27 %),"955,600",17.63,0,0,18.7,18.7,18.1
27/08/2024,18.5,--,-0.3(-1.60 %),"953,400",17.72,0,0,18.65,18.75,18.5
26/08/2024,18.8,--,-0.15(-0.79 %),"1,480,900",28.12,0,0,19,19.3,18.75
23/08/2024,18.95,--,0.5(2.71 %),"1,561,200",29.18,0,0,18.5,18.95,18.3
22/08/2024,18.45,--,-0.05(-0.27 %),"955,100",17.66,0,0,18.75,18.75,18.2
21/08/2024,18.5,--,-0.05(-0.27 %),"1,016,200",18.67,0,0,18.5,18.55,18.2
20/08/2024,18.55,--,0.25(1.37 %),"2,357,200",43.5,0,0,18.3,18.85,17.95
19/08/2024,18.3,--,0.55(3.10 %),"1,649,100",29.86,0,0,18.3,18.3,17.85
16/08/2024,17.75,--,1.15(6.93 %),"2,561,000",45.06,0,0,16.85,17.75,16.7
15/08/2024,16.6,--,-0.2(-1.19 %),"680,400",11.37,0,0,16.85,16.9,16.55
14/08/2024,16.8,--,-0.35(-2.04 %),"874,300",14.93,0,0,17.4,17.4,16.8
13/08/2024,17.15,--,-0.25(-1.44 %),"1,010,600",17.37,0,0,17.6,17.6,17
12/08/2024,17.4,--,0.05(0.29 %),"577,000",10.01,0,0,17.35,17.5,17.2
09/08/2024,17.35,--,0.75(4.52 %),"2,188,200",37.47,0,0,16.65,17.55,16.65
09/08/2024,17.35,--,0.75(4.52 %),"2,188,200",37.47,0,0,16.65,17.55,16.65
08/08/2024,16.6,--,-0.2(-1.19 %),"735,000",12.27,0,0,16.55,17,16.35
07/08/2024,16.8,--,-0.1(-0.59 %),"517,100",8.68,0,0,17,17.05,16.6
06/08/2024,16.9,--,0.6(3.68 %),"1,242,300",20.83,0,0,16.55,17,16.3
05/08/2024,16.3,--,-0.7(-4.12 %),"1,173,900",19.47,0,0,16.3,17.15,16.2
02/08/2024,17,--,0.8(4.94 %),"1,176,700",19.45,0,0,16.25,17.1,16.1
01/08/2024,16.2,--,-1.1(-6.36 %),"3,058,400",50.21,0,0,17.5,17.5,16.1
31/07/2024,17.3,--,-0.1(-0.57 %),"514,300",9.01,0,0,17.6,17.7,17.3
30/07/2024,17.4,--,-0.3(-1.69 %),"549,300",9.59,0,0,17.6,17.65,17.3
29/07/2024,17.7,--,0.1(0.57 %),"420,900",7.44,0,0,17.7,17.85,17.55
26/07/2024,17.6,--,0.1(0.57 %),"430,000",7.55,0,0,17.65,17.65,17.45
25/07/2024,17.5,--,-0.1(-0.57 %),"460,000",8.02,0,0,17.25,17.6,17.25
24/07/2024,17.6,--,0.3(1.73 %),"1,442,100",24.66,0,0,16.9,17.7,16.6
23/07/2024,17.3,--,-0.2(-1.14 %),"891,400",15.6,0,0,17.55,17.85,17.2
22/07/2024,17.5,--,-0.9(-4.89 %),"2,633,100",46.87,0,0,18.25,18.3,17.35
