date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
06/09/2024,18.05(0.00 %),"1,200",0.02,"1,200",0.02,0,0,"214,885,195",0.23%
05/09/2024,18.05(-0.28 %),0,0,0,0,0,0,"214,886,395",0.23%
04/09/2024,18.1(-1.90 %),"1,000",0.02,"1,000",0.02,0,0,"214,886,295",0.23%
30/08/2024,18.45(0.54 %),-100,-0,0,0,100,0,"214,882,495",0.24%
29/08/2024,18.35(-1.08 %),"-4,800",-0.09,0,0,"4,800",0.09,"214,876,495",0.24%
28/08/2024,18.55(0.27 %),"-6,000",-0.11,0,0,"6,000",0.11,"214,875,545",0.24%
27/08/2024,18.5(-1.60 %),"1,600",0.03,"2,600",0.05,"1,000",0.02,"214,835,545",0.26%
26/08/2024,18.8(-0.79 %),"-40,000",-0.76,0,0,"40,000",0.76,"214,782,645",0.28%
23/08/2024,18.95(2.71 %),"32,300",0.62,"87,800",1.64,"55,500",1.02,"214,775,745",0.29%
22/08/2024,18.45(-0.27 %),"-6,600",-0.12,300,0.01,"6,900",0.13,"214,828,145",0.26%
21/08/2024,18.5(-0.27 %),"-35,400",-0.65,0,0,"35,400",0.65,"214,827,995",0.26%
20/08/2024,18.55(1.37 %),"78,800",1.46,"79,300",1.47,500,0.01,"214,907,295",0.22%
19/08/2024,18.3(3.10 %),0,0,0,0,0,0,"214,907,295",0.22%
16/08/2024,17.75(6.93 %),"48,500",0.84,"48,500",0.84,0,0,"214,904,995",0.23%
15/08/2024,16.6(-1.19 %),"-1,800",-0.03,500,0.01,"2,300",0.04,"214,909,495",0.22%
14/08/2024,16.8(-2.04 %),"-44,000",-0.75,0,0,"44,000",0.75,"214,909,995",0.22%
13/08/2024,17.15(-1.44 %),0,0,0,0,0,0,"214,899,195",0.23%
12/08/2024,17.4(0.29 %),"-10,800",-0.19,0,0,"10,800",0.19,"214,876,595",0.24%
09/08/2024,17.35(4.52 %),"24,700",0.42,"47,300",0.81,"22,600",0.39,"214,819,087",0.27%
08/08/2024,16.6(-1.19 %),"-57,400",-0.96,100,0,"57,500",0.96,"214,733,687",0.31%
07/08/2024,16.8(-0.59 %),"-132,700",-2.22,0,0,"132,700",2.22,"214,607,287",0.36%
06/08/2024,16.9(3.68 %),"-94,000",-1.57,"32,500",0.55,"126,500",2.12,"214,606,987",0.36%
05/08/2024,16.3(-4.12 %),-300,-0,0,0,300,0,"214,610,487",0.36%
02/08/2024,17(4.94 %),"-3,200",-0.06,"25,800",0.42,"29,000",0.48,"214,587,687",0.37%
01/08/2024,16.2(-6.36 %),"106,700",1.75,"129,500",2.14,"22,800",0.39,"214,607,787",0.36%
31/07/2024,17.3(-0.57 %),"-5,700",-0.1,0,0,"5,700",0.1,"214,727,687",0.31%
30/07/2024,17.4(-1.69 %),"1,200",0.02,"3,900",0.07,"2,700",0.05,"214,724,987",0.31%
29/07/2024,17.7(0.57 %),"1,200",0.02,"3,900",0.07,"2,700",0.05,"214,724,987",0.31%
24/07/2024,17.6(1.73 %),"53,100",0.89,"53,100",0.89,0,0,"214,717,887",0.31%
23/07/2024,17.3(-1.14 %),0,0,0,0,0,0,"214,661,087",0.34%
22/07/2024,17.5(-4.89 %),"-77,000",-1.4,"32,900",0.59,"109,900",1.99,"214,600,287",0.37%
19/07/2024,18.4(-3.16 %),"-56,300",-1.06,"4,500",0.08,"60,800",1.14,"214,623,187",0.36%
18/07/2024,19(0.26 %),"-10,000",-0.19,0,0,"10,000",0.19,"214,598,487",0.37%
17/07/2024,18.95(-3.56 %),"5,300",0.11,"34,500",0.67,"29,200",0.56,"214,598,387",0.37%
16/07/2024,19.65(0.26 %),"63,300",1.25,"63,400",1.25,100,0,"214,627,384",0.35%
15/07/2024,19.6(0.00 %),"-5,500",-0.11,0,0,"5,500",0.11,"214,680,184",0.33%
12/07/2024,19.6(-0.51 %),"-10,600",-0.21,0,0,"10,600",0.21,"214,680,176",0.33%
11/07/2024,0(0.00 %),"35,400",0.7,"35,400",0.7,0,0,"214,680,176",0.33%
10/07/2024,0(0.00 %),"4,000",0.08,"4,000",0.08,0,0,"214,712,776",0.32%
08/07/2024,19.3(1.05 %),-200,-0,0,0,200,0,"214,798,676",0.28%
04/07/2024,19.1(-0.78 %),"-22,600",-0.44,200,0,"22,800",0.44,"214,779,476",0.28%
03/07/2024,19.25(-0.26 %),-100,-0,0,0,100,0,"214,756,876",0.29%
02/07/2024,19.3(1.05 %),"-22,800",-0.44,0,0,"22,800",0.44,"214,752,876",0.3%
01/07/2024,19.1(3.24 %),"22,500",0.42,"28,000",0.52,"5,500",0.1,"214,640,076",0.35%
28/06/2024,18.5(-3.39 %),"-110,500",-2.07,"3,300",0.06,"113,800",2.13,"214,654,876",0.34%
27/06/2024,19.15(-1.29 %),"-14,200",-0.27,0,0,"14,200",0.27,"214,550,776",0.39%
26/06/2024,19.4(-0.26 %),"-106,900",-2.07,500,0.01,"107,400",2.08,"214,517,576",0.41%
25/06/2024,19.45(1.30 %),"-9,300",-0.18,"23,900",0.46,"33,200",0.64,"214,489,676",0.42%
24/06/2024,19.2(-6.57 %),"35,700",0.69,"64,100",1.26,"28,400",0.56,"214,510,076",0.41%
21/06/2024,20.55(-1.44 %),"-3,500",-0.07,0,0,"3,500",0.07,"214,378,176",0.47%
20/06/2024,20.85(-1.65 %),"-180,200",-3.76,"15,800",0.33,"196,000",4.09,"214,293,976",0.51%
19/06/2024,21.2(1.44 %),"-19,000",-0.42,"65,200",1.34,"84,200",1.75,"214,285,876",0.51%
18/06/2024,20.9(-1.42 %),"-23,900",-0.51,0,0,"23,900",0.51,"214,272,876",0.52%
