ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
AGR,05/06/2024,0,0,100,0,-100,-0
AGR,15/03/2024,200,0,0,0,200,0
AGR,14/03/2024,200,0,0,0,200,0
AGR,13/03/2024,0,0,200,0,-200,-0
AGR,21/02/2024,0,0,100,0,-100,-0
AGR,30/01/2024,0,0,100,0,-100,-0
AGR,26/12/2023,0,0,100,0,-100,-0
AGR,25/12/2023,0,0,200,0,-200,-0
AGR,11/10/2023,0,0,100,0,-100,-0
AGR,05/10/2023,"1,000",0.02,0,0,"1,000",0.02
AGR,28/09/2023,0,0,100,0,-100,-0
AGR,27/09/2023,0,0,100,0,-100,-0
AGR,10/08/2023,"1,000",0.02,100,0,900,0.01
AGR,09/08/2023,0,0,100,0,-100,-0
AGR,04/08/2023,0,0,"1,200",0.02,"-1,200",-0.02
AGR,28/07/2023,"1,000",0.02,0,0,"1,000",0.02
AGR,27/07/2023,0,0,100,0,-100,-0
AGR,19/07/2023,"1,500",0.02,0,0,"1,500",0.02
AGR,13/07/2023,0,0,100,0,-100,-0
AGR,12/07/2023,900,0.01,0,0,900,0.01
AGR,11/07/2023,"2,000",0.03,0,0,"2,000",0.03
AGR,10/07/2023,"1,100",0.02,0,0,"1,100",0.02
AGR,05/07/2023,0,0,100,0,-100,-0
AGR,29/06/2023,0,0,500,0.01,-500,-0.01
AGR,27/06/2023,"4,000",0.06,0,0,"4,000",0.06
AGR,26/06/2023,"3,100",0.05,100,0,"3,000",0.04
AGR,22/06/2023,"1,000",0.01,100,0,900,0.01
AGR,20/06/2023,800,0.01,100,0,700,0.01
AGR,16/06/2023,"2,500",0.03,"1,500",0.02,"1,000",0.01
AGR,15/06/2023,"2,500",0.03,100,0,"2,400",0.03
AGR,14/06/2023,"1,500",0.02,0,0,"1,500",0.02
AGR,12/06/2023,0,0,100,0,-100,-0
AGR,11/05/2023,0,0,100,0,-100,-0
AGR,27/04/2023,0,0,100,0,-100,-0
AGR,26/04/2023,0,0,100,0,-100,-0
AGR,24/04/2023,0,0,100,0,-100,-0
AGR,12/04/2023,0,0,400,0,-400,-0
AGR,06/04/2023,0,0,400,0,-400,-0
AGR,05/04/2023,0,0,100,0,-100,-0
AGR,30/03/2023,0,0,700,0.01,-700,-0.01
AGR,08/03/2023,0,0,100,0,-100,-0
AGR,24/11/2022,"1,000",0.01,0,0,"1,000",0.01
AGR,23/11/2022,200,0,0,0,200,0
AGR,22/11/2022,0,0,"6,000",0.04,"-6,000",-0.04
AGR,17/11/2022,"6,500",0.04,0,0,"6,500",0.04
AGR,16/11/2022,"1,100",0.01,0,0,"1,100",0.01
