date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
29/12/2014,3.4 ( 0 %),35,"57,220","1,634.86",20,"31,150","1,558","26,070"
26/12/2014,3.5 ( -2.78 %),23,"110,730","4,814.35",11,"14,410","1,310","96,320"
25/12/2014,3.6 ( 0 %),14,"65,710","4,693.57",16,"11,890",743,"53,820"
24/12/2014,3.6 ( 0 %),14,"78,790","5,627.86",14,"24,030","1,716","54,760"
23/12/2014,3.6 ( 5.88 %),22,"64,220","2,919.09",14,"19,100","1,364","45,120"
22/12/2014,3.4 ( -5.56 %),13,"14,040","1,080",13,"14,260","1,097",-220
19/12/2014,3.6 ( 5.88 %),14,"18,260","1,304.29",6,"4,170",695,"14,090"
18/12/2014,3.4 ( -2.86 %),13,"38,790","2,983.85",15,"23,000","1,533","15,790"
17/12/2014,3.5 ( 0 %),19,"28,290","1,488.95",15,"15,180","1,012","13,110"
16/12/2014,3.5 ( 0 %),22,"89,590","4,072.27",15,"30,590","2,039","59,000"
15/12/2014,3.5 ( -2.78 %),19,"30,270","1,593.16",23,"46,330","2,014","-16,060"
12/12/2014,3.6 ( 2.86 %),24,"59,160","2,465",18,"40,600","2,256","18,560"
11/12/2014,3.5 ( -2.78 %),17,"44,350","2,608.82",20,"23,250","1,162","21,100"
10/12/2014,3.6 ( -5.26 %),34,"76,120","2,238.82",46,"69,750","1,516","6,370"
09/12/2014,3.8 ( -2.56 %),19,"29,560","1,555.79",31,"57,940","1,869","-28,380"
08/12/2014,3.9 ( -4.88 %),7,"17,840","2,548.57",26,"31,070","1,195","-13,230"
05/12/2014,4.1 ( 2.5 %),33,"83,490","2,530",18,"32,450","1,803","51,040"
04/12/2014,4 ( -4.76 %),5,"4,130",826,15,"10,080",672,"-5,950"
03/12/2014,4.2 ( 2.44 %),8,"2,690",336.25,4,"1,610",402,"1,080"
02/12/2014,4.1 ( -2.38 %),9,"3,840",426.67,10,"7,930",793,"-4,090"
01/12/2014,4.2 ( 0 %),6,"1,070",178.33,9,"5,380",598,"-4,310"
28/11/2014,4.2 ( 0 %),10,"28,580","2,858",8,"4,640",580,"23,940"
27/11/2014,4.2 ( 0 %),7,"9,670","1,381.43",10,"2,570",257,"7,100"
26/11/2014,4.2 ( 0 %),5,"3,850",770,11,"15,190","1,381","-11,340"
