date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
29/12/2014,3.4(0.00 %),0,0,0,0,0,0,"92,919,617",0.73%
26/12/2014,3.5(-2.78 %),-10,-0,0,0,10,0,"92,919,617",0.73%
25/12/2014,3.6(0.00 %),"-1,030",-0,0,0,"1,030",0,"92,919,607",0%
24/12/2014,3.6(0.00 %),0,0,0,0,0,0,"92,919,607",0%
23/12/2014,3.6(5.88 %),-360,-0,500,0,860,0,"92,909,707",0%
22/12/2014,3.4(-5.56 %),0,0,0,0,0,0,"92,894,631",0.74%
19/12/2014,3.6(5.88 %),0,0,0,0,0,0,"92,894,631",0%
18/12/2014,3.4(-2.86 %),"-9,900",-0.03,0,0,"9,900",0.03,"92,881,921",0%
17/12/2014,3.5(0.00 %),-910,-0,0,0,910,0,"92,870,571",0%
16/12/2014,3.5(0.00 %),"-14,660",-0.05,0,0,"14,660",0.05,"92,864,381",0%
15/12/2014,3.5(-2.78 %),"-12,710",-0.04,0,0,"12,710",0.04,"92,862,741",0%
12/12/2014,3.6(2.86 %),"-11,350",-0.04,0,0,"11,350",0.04,"92,852,477",0.76%
11/12/2014,3.5(-2.78 %),"-6,190",-0.02,0,0,"6,190",0.02,"92,841,127",0%
10/12/2014,3.6(-5.26 %),"-1,640",-0.01,0,0,"1,640",0.01,"92,823,227",0%
09/12/2014,3.8(-2.56 %),"-3,840",-0.01,500,0,"4,340",0.02,"92,823,227",0%
08/12/2014,3.9(-4.88 %),"-17,260",-0.07,0,0,"17,260",0.07,"92,823,727",0%
05/12/2014,4.1(2.50 %),"-17,100",-0.07,800,0,"17,900",0.07,"92,823,727",0%
04/12/2014,4(-4.76 %),0,0,0,0,0,0,"92,824,527",0%
03/12/2014,4.2(2.44 %),0,0,0,0,0,0,"92,824,527",0%
02/12/2014,4.1(-2.38 %),0,0,0,0,0,0,"92,824,527",0%
01/12/2014,4.2(0.00 %),0,0,0,0,0,0,"92,824,527",0%
28/11/2014,4.2(0.00 %),0,0,0,0,0,0,"92,824,517",0%
27/11/2014,4.2(0.00 %),0,0,0,0,0,0,"92,824,517",0%
26/11/2014,4.2(0.00 %),0,0,0,0,0,0,"92,824,517",0%
25/11/2014,4.2(0.00 %),-10,-0,0,0,10,0,"92,824,517",0%
24/11/2014,4.2(-2.33 %),0,0,0,0,0,0,"92,824,517",0%
21/11/2014,4.3(2.38 %),0,0,0,0,0,0,"92,824,517",0%
