date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,15.9,--,0(0.00 %),19,0,0,0,15.9,15.9,15.9
06/09/2024,15.9,--,1(6.71 %),110,0,0,0,15.9,15.9,15.9
05/09/2024,14.9,--,0(0.00 %),0,0,0,0,14.9,14.9,14.9
04/09/2024,14.9,--,0(0.00 %),46,0,0,0,14.9,14.9,14.9
30/08/2024,14.9,--,1.1(7.97 %),105,0,0,0,14.9,14.9,14.9
29/08/2024,13.8,--,0(0.00 %),0,0,0,0,13.8,13.8,13.8
28/08/2024,13.8,--,0.2(1.47 %),124,0,0,0,13.8,13.8,13.8
27/08/2024,13.6,--,0.1(0.74 %),"20,104",0.26,0,0,12.8,13.6,12.8
26/08/2024,13.5,--,0(0.00 %),0,0,0,0,13.5,13.5,13.5
23/08/2024,13.5,--,0(0.00 %),0,0,0,0,13.5,13.5,13.5
22/08/2024,13.5,--,-0.1(-0.74 %),202,0,0,0,12.8,13.5,12.8
21/08/2024,13.6,--,0(0.00 %),0,0,0,0,13.6,13.6,13.6
20/08/2024,13.6,--,0(0.00 %),0,0,0,0,13.6,13.6,13.6
19/08/2024,13.6,--,-0.1(-0.73 %),603,0.01,0,0,13.6,13.8,12.8
16/08/2024,13.7,--,0(0.00 %),501,0.01,0,0,13.2,13.7,13.2
15/08/2024,13.7,--,-0.2(-1.44 %),"1,060",0.01,0,0,13.8,13.8,13.7
14/08/2024,13.9,--,0(0.00 %),103,0,0,0,13.9,13.9,13.9
13/08/2024,13.9,--,0.2(1.46 %),104,0,0,0,13.9,13.9,13.9
12/08/2024,13.7,--,-0.2(-1.44 %),600,0.01,0,0,12.9,13.7,12.9
09/08/2024,13.9,--,0(0.00 %),0,0,0,0,13.9,13.9,13.9
09/08/2024,13.9,--,0(0.00 %),0,0,0,0,13.9,13.9,13.9
08/08/2024,13.9,--,0(0.00 %),17,0,0,0,13.9,13.9,13.9
07/08/2024,13.9,--,0.6(4.51 %),201,0,0,0,13.9,13.9,13.9
06/08/2024,13.3,--,0(0.00 %),5,0,0,0,13.3,13.3,13.3
