date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
09/09/2024,15.9 ( 0 %),0,0,0,13,"6,600",508,"-6,600"
06/09/2024,15.9 ( 6.71 %),1,100,100,16,"7,200",450,"-7,100"
05/09/2024,14.9 ( 0 %),0,0,0,9,"3,600",400,"-3,600"
04/09/2024,14.9 ( 0 %),0,0,0,8,"4,000",500,"-4,000"
30/08/2024,14.9 ( 7.97 %),3,"2,100",700,13,"6,100",469,"-4,000"
29/08/2024,13.8 ( 0 %),4,"4,200","1,050",11,"3,000",273,"1,200"
28/08/2024,13.8 ( 1.47 %),7,"1,300",185.71,12,"4,300",358,"-3,000"
27/08/2024,13.6 ( 0.74 %),8,"25,300","3,162.5",11,"24,100","2,191","1,200"
26/08/2024,13.5 ( 0 %),7,"9,400","1,342.86",10,"3,300",330,"6,100"
23/08/2024,13.5 ( 0 %),7,"4,400",628.57,8,"3,600",450,800
22/08/2024,13.5 ( -0.74 %),9,"7,700",855.56,11,"4,200",382,"3,500"
21/08/2024,13.6 ( 0 %),9,"15,300","1,700",8,"4,100",512,"11,200"
20/08/2024,13.6 ( 0 %),10,"12,700","1,270",10,"5,400",540,"7,300"
19/08/2024,13.6 ( -0.73 %),20,"11,600",580,16,"5,000",312,"6,600"
16/08/2024,13.7 ( 0 %),5,"3,800",760,11,"4,600",418,-800
15/08/2024,13.7 ( -1.44 %),8,"6,900",862.5,12,"6,000",500,900
14/08/2024,13.9 ( 0 %),6,"3,300",550,9,"5,400",600,"-2,100"
13/08/2024,13.9 ( 1.46 %),4,800,200,11,"5,500",500,"-4,700"
12/08/2024,13.7 ( -1.44 %),12,"4,300",358.33,16,"5,300",331,"-1,000"
09/08/2024,13.9 ( 0 %),3,800,266.67,9,"6,000",667,"-5,200"
08/08/2024,13.9 ( 0 %),6,"2,700",450,8,"5,700",712,"-3,000"
07/08/2024,13.9 ( 4.51 %),9,"5,500",611.11,8,"3,900",488,"1,600"
06/08/2024,13.3 ( 0 %),10,"6,700",670,7,"4,200",600,"2,500"
05/08/2024,13.3 ( -8.28 %),10,"9,300",930,18,"12,300",683,"-3,000"
02/08/2024,14.5 ( 0 %),3,"1,600",533.33,8,"6,900",862,"-5,300"
01/08/2024,14.5 ( 0 %),4,"1,200",300,7,"6,600",943,"-5,400"
31/07/2024,14.5 ( 0 %),8,"1,600",200,9,"8,400",933,"-6,800"
30/07/2024,14.5 ( 0 %),4,600,150,9,"9,000","1,000","-8,400"
29/07/2024,14.5 ( -1.36 %),13,"1,700",130.77,13,"6,100",469,"-4,400"
26/07/2024,14.7 ( -2.65 %),5,"1,300",260,10,"5,900",590,"-4,600"
25/07/2024,15.1 ( -3.82 %),2,200,100,11,"6,000",545,"-5,800"
24/07/2024,15.7 ( 0 %),0,0,0,8,"5,800",725,"-5,800"
23/07/2024,15.7 ( 0 %),0,0,0,11,"7,200",655,"-7,200"
22/07/2024,15.7 ( 1.29 %),1,100,100,12,"10,900",908,"-10,800"
19/07/2024,15.5 ( 6.9 %),6,800,133.33,11,"3,100",282,"-2,300"
18/07/2024,14.5 ( -8.23 %),1,300,300,6,"3,900",650,"-3,600"
17/07/2024,15.8 ( 6.76 %),6,"1,200",200,9,"4,100",456,"-2,900"
16/07/2024,14.8 ( 8.82 %),9,"9,900","1,100",5,"2,600",520,"7,300"
15/07/2024,13.6 ( -8.72 %),4,500,125,9,"5,000",556,"-4,500"
12/07/2024,14.9 ( 0 %),2,200,100,5,"3,500",700,"-3,300"
11/07/2024,14.9 ( -9.7 %),1,100,100,7,"7,000","1,000","-6,900"
10/07/2024,16.5 ( 0 %),0,0,0,10,"8,000",800,"-8,000"
09/07/2024,16.5 ( 0 %),0,0,0,15,"14,300",953,"-14,300"
08/07/2024,16.5 ( 0 %),0,0,0,11,"57,600","5,236","-57,600"
05/07/2024,16.5 ( 3.12 %),1,100,100,9,"4,900",544,"-4,800"
04/07/2024,16 ( 0 %),0,0,0,10,"10,100","1,010","-10,100"
03/07/2024,16 ( 6.67 %),3,"8,800","2,933.33",7,"4,700",671,"4,100"
02/07/2024,15 ( 9.49 %),9,"8,300",922.22,3,500,167,"7,800"
01/07/2024,13.7 ( 0 %),12,"8,000",666.67,10,"2,000",200,"6,000"
28/06/2024,13.7 ( 0 %),13,"9,100",700,7,"1,900",271,"7,200"
27/06/2024,13.7 ( 0 %),7,"5,600",800,5,"1,500",300,"4,100"
26/06/2024,13.7 ( -2.14 %),26,"12,300",473.08,14,"9,500",679,"2,800"
25/06/2024,14 ( 0 %),14,"8,400",600,10,"1,800",180,"6,600"
24/06/2024,14 ( 7.69 %),11,"11,800","1,072.73",6,"1,100",183,"10,700"
21/06/2024,13 ( -7.14 %),13,"15,000","1,153.85",9,"1,900",211,"13,100"
20/06/2024,14 ( 0 %),6,"3,900",650,10,"2,100",210,"1,800"
19/06/2024,14 ( 5.26 %),17,"13,800",811.76,6,"1,100",183,"12,700"
18/06/2024,13.3 ( -2.92 %),12,"13,700","1,141.67",6,"1,100",183,"12,600"
17/06/2024,13.7 ( -2.84 %),25,"8,400",336,16,"3,400",212,"5,000"
14/06/2024,14.1 ( 0 %),9,"5,400",600,10,"3,500",350,"1,900"
13/06/2024,14.1 ( 0 %),9,"12,900","1,433.33",10,"3,500",350,"9,400"
