date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
06/09/2024,15.9(6.71 %),0,0,0,0,0,0,"-197,516",3.2%
05/09/2024,14.9(0.00 %),0,0,0,0,0,0,"-197,516",3.2%
04/09/2024,14.9(0.00 %),0,0,0,0,0,0,"-197,516",3.2%
30/08/2024,14.9(7.97 %),0,0,0,0,0,0,"-197,516",3.2%
29/08/2024,13.8(0.00 %),0,0,0,0,0,0,"-197,516",3.2%
28/08/2024,13.8(1.47 %),0,0,0,0,0,0,"-197,516",3.2%
27/08/2024,13.6(0.74 %),0,0,0,0,0,0,"-197,516",3.2%
26/08/2024,13.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
23/08/2024,13.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
22/08/2024,13.5(-0.74 %),0,0,0,0,0,0,"2,827,020",3.2%
21/08/2024,13.6(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
20/08/2024,13.6(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
19/08/2024,13.6(-0.73 %),0,0,0,0,0,0,"2,827,020",3.2%
16/08/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
15/08/2024,13.7(-1.44 %),0,0,0,0,0,0,"2,827,020",3.2%
14/08/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
13/08/2024,13.9(1.46 %),0,0,0,0,0,0,"2,827,020",3.2%
12/08/2024,13.7(-1.44 %),0,0,0,0,0,0,"2,827,020",3.2%
09/08/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
08/08/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
07/08/2024,13.9(4.51 %),0,0,0,0,0,0,"2,827,020",3.2%
06/08/2024,13.3(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
05/08/2024,13.3(-8.28 %),0,0,0,0,0,0,"2,827,020",3.2%
02/08/2024,14.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
01/08/2024,14.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
31/07/2024,14.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
30/07/2024,14.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
29/07/2024,14.5(-1.36 %),0,0,0,0,0,0,"2,827,020",3.2%
24/07/2024,15.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
23/07/2024,15.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
22/07/2024,15.7(1.29 %),0,0,0,0,0,0,"2,827,020",3.2%
19/07/2024,15.5(6.90 %),0,0,0,0,0,0,"2,827,020",3.2%
18/07/2024,14.5(-8.23 %),0,0,0,0,0,0,"2,827,020",3.2%
17/07/2024,15.8(6.76 %),0,0,0,0,0,0,"2,827,020",3.2%
16/07/2024,14.8(8.82 %),0,0,0,0,0,0,"2,827,020",3.2%
15/07/2024,13.6(-8.72 %),0,0,0,0,0,0,"2,827,020",3.2%
12/07/2024,14.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
11/07/2024,0(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
10/07/2024,0(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
08/07/2024,16.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
04/07/2024,16(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
03/07/2024,16(6.67 %),0,0,0,0,0,0,"2,827,020",3.44%
02/07/2024,15(9.49 %),0,0,0,0,0,0,"2,827,020",3.2%
01/07/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
28/06/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
27/06/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
26/06/2024,13.7(-2.14 %),0,0,0,0,0,0,"2,827,020",3.2%
25/06/2024,14(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
24/06/2024,14(7.69 %),0,0,0,0,0,0,"2,827,020",3.2%
21/06/2024,13(-7.14 %),0,0,0,0,0,0,"2,827,020",3.2%
20/06/2024,14(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
19/06/2024,14(5.26 %),0,0,0,0,0,0,"2,827,020",3.2%
18/06/2024,13.3(-2.92 %),0,0,0,0,0,0,"2,827,020",3.2%
17/06/2024,13.7(-2.84 %),0,0,0,0,0,0,"2,827,020",3.2%
14/06/2024,14.1(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
13/06/2024,14.1(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
12/06/2024,14.1(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
11/06/2024,14.1(8.46 %),0,0,0,0,0,0,"2,827,020",3.44%
10/06/2024,0(0.00 %),0,0,0,0,0,0,"2,827,020",0%
07/06/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
06/06/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
05/06/2024,13.9(0.00 %),0,0,0,0,0,0,"2,827,020",0%
04/06/2024,13.9(2.96 %),0,0,0,0,0,0,"2,827,020",0%
03/06/2024,13.5(0.75 %),0,0,0,0,0,0,"2,827,020",0%
31/05/2024,13.4(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
30/05/2024,13.4(7.20 %),0,0,0,0,0,0,"2,827,020",3.2%
29/05/2024,12.5(-8.76 %),0,0,0,0,0,0,"2,827,020",3.2%
28/05/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
27/05/2024,13.7(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
24/05/2024,13.7(-1.44 %),0,0,0,0,0,0,"2,827,020",0%
23/05/2024,13.9(2.21 %),0,0,0,0,0,0,"2,827,020",3.2%
22/05/2024,13.6(-8.11 %),0,0,0,0,0,0,"2,827,020",3.2%
21/05/2024,14.8(2.78 %),0,0,0,0,0,0,"2,827,020",3.2%
20/05/2024,14.4(-9.43 %),0,0,0,0,0,0,"2,827,020",3.2%
17/05/2024,15.9(-3.64 %),0,0,0,0,0,0,"2,827,020",3.2%
16/05/2024,16.5(10.00 %),0,0,0,0,0,0,"2,827,020",0%
15/05/2024,15(0.00 %),0,0,0,0,0,0,"2,827,020",0%
14/05/2024,15(-9.09 %),0,0,0,0,0,0,"2,827,020",0%
13/05/2024,16.5(-2.94 %),0,0,0,0,0,0,"2,827,020",3.2%
10/05/2024,17(-3.95 %),0,0,0,0,0,0,"2,827,020",3.2%
09/05/2024,17.7(-1.67 %),0,0,0,0,0,0,"2,827,020",3.2%
08/05/2024,18(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
07/05/2024,18(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
06/05/2024,18(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
03/05/2024,18(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
02/05/2024,18(0.56 %),0,0,0,0,0,0,"2,827,020",3.2%
26/04/2024,17.9(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
25/04/2024,17.9(-0.56 %),0,0,0,0,0,0,"2,827,020",0%
24/04/2024,18(-10.00 %),0,0,0,0,0,0,"2,827,020",0%
23/04/2024,20(5.26 %),0,0,0,0,0,0,"2,827,020",3.2%
22/04/2024,19(7.95 %),0,0,0,0,0,0,"2,827,020",3.2%
19/04/2024,17.6(0.00 %),0,0,0,0,0,0,"2,827,020",0%
17/04/2024,17.6(0.00 %),0,0,0,0,0,0,"2,827,020",0%
16/04/2024,17.6(10.00 %),0,0,0,0,0,0,"2,827,020",0%
15/04/2024,16(7.38 %),0,0,0,0,0,0,"2,827,020",0%
12/04/2024,14.9(2.76 %),0,0,0,0,0,0,"2,827,020",3.2%
11/04/2024,14.5(0.00 %),0,0,0,0,0,0,"2,827,020",3.2%
