date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
06/09/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
05/09/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
04/09/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
30/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
29/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
28/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
27/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
26/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
23/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
22/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
21/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
20/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
19/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
16/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
15/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
14/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
13/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
12/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
09/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
09/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
08/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
07/08/2024,1.1,--,0(0.00 %),0,0,0,0,1.1,1.1,1.1
