date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,5.5,--,-0.2(-3.51 %),100,0,0,0,5.5,5.5,5.5
06/09/2024,5.7,--,0(0.00 %),300,0,0,0,5.3,5.7,5.3
05/09/2024,5.7,--,0(0.00 %),0,0,0,0,5.7,5.7,5.7
04/09/2024,5.7,--,0(0.00 %),4,0,0,0,5.7,5.7,5.7
30/08/2024,5.7,--,-0.2(-3.39 %),100,0,0,0,5.7,5.7,5.7
29/08/2024,5.9,--,0.3(5.36 %),110,0,0,0,5.9,5.9,5.9
28/08/2024,5.6,--,0(0.00 %),200,0,0,0,5.6,5.6,5.6
27/08/2024,5.6,--,0(0.00 %),"4,800",0.03,0,0,5.6,5.6,5.5
26/08/2024,5.6,--,0(0.00 %),10,0,0,0,5.6,5.6,5.6
23/08/2024,5.6,--,0(0.00 %),0,0,0,0,5.6,5.6,5.6
22/08/2024,5.6,--,0(0.00 %),61,0,0,0,5.6,5.6,5.6
21/08/2024,5.6,--,0.1(1.82 %),"4,800",0.03,0,0,5.5,5.6,5.5
20/08/2024,5.5,--,0(0.00 %),800,0,0,0,5.6,5.6,5.5
19/08/2024,5.5,--,-0.5(-8.33 %),200,0,0,0,5.6,5.6,5.5
16/08/2024,6,--,0(0.00 %),"2,700",0.02,0,0,6,6,5.5
15/08/2024,6,--,0(0.00 %),0,0,0,0,6,6,6
14/08/2024,6,--,0(0.00 %),0,0,0,0,6,6,6
13/08/2024,6,--,0(0.00 %),0,0,0,0,6,6,6
12/08/2024,6,--,0.1(1.69 %),300,0,0,0,5.4,6,5.4
09/08/2024,5.9,--,0(0.00 %),1,0,0,0,5.9,5.9,5.9
09/08/2024,5.9,--,0(0.00 %),1,0,0,0,5.9,5.9,5.9
08/08/2024,5.9,--,0(0.00 %),0,0,0,0,5.9,5.9,5.9
07/08/2024,5.9,--,0(0.00 %),0,0,0,0,5.9,5.9,5.9
06/08/2024,5.9,--,0.4(7.27 %),201,0,0,0,5.6,5.9,5.6
05/08/2024,5.5,--,-0.4(-6.78 %),500,0,0,0,5.7,5.7,5.5
02/08/2024,5.9,--,0(0.00 %),0,0,0,0,5.9,5.9,5.9
01/08/2024,5.9,--,-0.2(-3.28 %),"1,600",0.01,0,0,5.7,5.9,5.7
31/07/2024,6.1,--,0(0.00 %),0,0,0,0,6.1,6.1,6.1
30/07/2024,6.1,--,0(0.00 %),0,0,0,0,6.1,6.1,6.1
29/07/2024,6.1,--,-0.2(-3.17 %),700,0,0,0,6.1,6.1,6.1
26/07/2024,6.3,--,0.5(8.62 %),"1,100",0.01,0,0,6.2,6.3,6.2
25/07/2024,5.8,--,0(0.00 %),700,0,0,0,5.8,5.8,5.8
24/07/2024,5.8,--,-0.6(-9.37 %),200,0,0,0,5.9,5.9,5.8
23/07/2024,6.4,--,0(0.00 %),0,0,0,0,6.4,6.4,6.4
22/07/2024,6.4,--,-0.1(-1.54 %),400,0,0,0,6,6.4,5.9
19/07/2024,6.5,--,0(0.00 %),0,0,0,0,6.5,6.5,6.5
18/07/2024,6.5,--,0(0.00 %),0,0,0,0,6.5,6.5,6.5
17/07/2024,6.5,--,0(0.00 %),0,0,0,0,6.5,6.5,6.5
16/07/2024,6.5,--,0.1(1.56 %),"3,000",0.02,0,0,6.4,6.5,6.4
15/07/2024,6.4,--,-0.5(-7.25 %),100,0,0,0,6.4,6.4,6.4
12/07/2024,6.9,--,-0.1(-1.43 %),"5,500",0.04,0,0,6.9,6.9,6.9
11/07/2024,7,--,0.2(2.94 %),"1,800",0.01,0,0,6.8,7,6.8
10/07/2024,6.8,--,0(0.00 %),0,0,0,0,6.8,6.8,6.8
09/07/2024,6.8,--,0(0.00 %),200,0,0,0,6.8,6.8,6.8
08/07/2024,6.8,--,-0.1(-1.45 %),"4,000",0.03,0,0,6.8,6.8,6.8
05/07/2024,6.9,--,0(0.00 %),0,0,0,0,6.9,6.9,6.9
04/07/2024,6.9,--,0(0.00 %),0,0,0,0,6.9,6.9,6.9
03/07/2024,6.9,--,0(0.00 %),0,0,0,0,6.9,6.9,6.9
02/07/2024,6.9,--,0(0.00 %),0,0,0,0,6.9,6.9,6.9
