date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
06/09/2024,10(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
05/09/2024,10(1.01 %),0,0,0,0,0,0,"8,142,022",35.43%
04/09/2024,10.1(2.02 %),0,0,0,0,0,0,"8,142,022",35.43%
30/08/2024,10.1(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
29/08/2024,10.1(-0.98 %),0,0,0,0,0,0,"8,142,022",35.43%
28/08/2024,10.2(-0.97 %),0,0,0,0,0,0,"8,142,022",35.43%
27/08/2024,10.4(1.96 %),0,0,0,0,0,0,"8,142,022",35.43%
26/08/2024,10.6(1.92 %),0,0,0,0,0,0,"8,142,022",35.43%
23/08/2024,10.6(0.95 %),0,0,0,0,0,0,"8,142,022",35.43%
22/08/2024,10.7(0.94 %),0,0,0,0,0,0,"8,142,022",35.43%
21/08/2024,10.8(0.93 %),0,0,0,0,0,0,"8,142,022",35.43%
20/08/2024,10.7(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
19/08/2024,10.8(1.89 %),0,0,0,0,0,0,"8,142,022",35.43%
16/08/2024,10.8(3.85 %),0,0,0,0,0,0,"8,142,022",35.43%
15/08/2024,10.5(0.96 %),0,0,0,0,0,0,"8,142,022",35.43%
14/08/2024,10.6(-0.93 %),0,0,0,0,0,0,"8,142,022",35.43%
13/08/2024,10.7(0.94 %),0,0,0,0,0,0,"8,142,022",35.43%
12/08/2024,10.7(2.88 %),0,0,0,0,0,0,"8,142,022",35.43%
09/08/2024,10.7(2.88 %),0,0,0,0,0,0,"8,142,022",35.43%
08/08/2024,10.6(1.92 %),0,0,0,0,0,0,"8,142,022",35.43%
07/08/2024,10.6(3.92 %),0,0,0,0,0,0,"8,142,022",35.43%
06/08/2024,10.5(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
05/08/2024,10.5(-6.25 %),0,0,0,0,0,0,"8,142,022",35.43%
02/08/2024,11.5(1.77 %),0,0,0,0,0,0,"8,142,022",35.43%
01/08/2024,11.3(-1.74 %),0,0,0,0,0,0,"8,142,022",35.43%
31/07/2024,11.6(3.57 %),0,0,0,0,0,0,"8,142,022",35.43%
30/07/2024,11.3(2.73 %),0,0,0,0,0,0,"8,142,022",35.43%
29/07/2024,11.2(3.70 %),0,0,0,0,0,0,"8,142,022",35.43%
24/07/2024,11.2(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
23/07/2024,11.3(0.00 %),0,0,0,0,0,0,"8,142,022",35.43%
22/07/2024,11.5(1.77 %),0,0,0,0,0,0,"8,142,022",35.43%
19/07/2024,11.5(6.48 %),0,0,0,0,0,0,"8,142,022",35.43%
18/07/2024,11.2(3.70 %),0,0,0,0,0,0,"8,142,022",35.43%
17/07/2024,10.9(-1.80 %),"3,000",0.03,"3,000",0.03,0,0,"8,133,222",35.44%
16/07/2024,11.2(0.00 %),"-8,800",-0.1,0,0,"8,800",0.1,"8,136,222",35.44%
15/07/2024,11.3(-1.74 %),0,0,0,0,0,0,"8,136,222",35.44%
12/07/2024,11.6(-0.85 %),0,0,0,0,0,0,"8,135,522",35.44%
11/07/2024,0(0.00 %),-700,-0.01,0,0,700,0.01,"8,134,222",35.44%
10/07/2024,0(0.00 %),"-1,300",-0.01,0,0,"1,300",0.01,"8,134,222",35.44%
08/07/2024,12(4.35 %),"7,000",0.08,"7,000",0.08,0,0,"8,134,222",35.44%
04/07/2024,11.6(1.75 %),0,0,0,0,0,0,"8,141,222",35.43%
03/07/2024,11.5(1.77 %),0,0,0,0,0,0,"8,141,222",0%
02/07/2024,11.6(3.57 %),0,0,0,0,0,0,"8,141,222",35.43%
01/07/2024,11.4(-1.72 %),"5,000",0.06,"5,000",0.06,0,0,"8,081,222",35.53%
28/06/2024,11.7(-1.68 %),"-52,000",-0.62,"8,000",0.09,"60,000",0.71,"8,086,222",35.52%
27/06/2024,12.1(-1.63 %),0,0,0,0,0,0,"8,094,222",35.51%
26/06/2024,12.5(0.00 %),"3,200",0.04,"3,200",0.04,0,0,"8,094,222",35.51%
25/06/2024,12.5(-1.57 %),0,0,0,0,0,0,"8,096,422",35.51%
24/06/2024,13(0.00 %),"-1,000",-0.01,0,0,"1,000",0.01,"8,096,422",35.51%
21/06/2024,13.4(10.74 %),0,0,0,0,0,0,"8,096,422",35.51%
20/06/2024,12.5(8.70 %),0,0,0,0,0,0,"8,096,422",35.51%
19/06/2024,12(8.11 %),"1,000",0.01,"1,000",0.01,0,0,"8,096,422",35.51%
18/06/2024,11.3(4.63 %),0,0,0,0,0,0,"8,097,422",35.5%
17/06/2024,10.9(-0.91 %),"8,800",0.1,"8,800",0.1,0,0,"8,097,422",35.5%
14/06/2024,11.2(4.67 %),0,0,0,0,0,0,"8,106,222",35.49%
13/06/2024,11(6.80 %),"10,000",0.11,"10,000",0.11,0,0,"8,101,222",35.5%
12/06/2024,10.4(0.97 %),"-5,000",-0.05,0,0,"5,000",0.05,"8,111,222",35.48%
11/06/2024,10.4(0.97 %),0,0,0,0,0,0,"8,111,222",0%
10/06/2024,0(0.00 %),"1,900",0.02,"1,900",0.02,0,0,"8,111,222",0%
07/06/2024,10.3(1.98 %),0,0,0,0,0,0,"8,113,122",35.48%
06/06/2024,10.3(0.00 %),0,0,0,0,0,0,"8,113,122",35.48%
05/06/2024,10.4(0.97 %),0,0,0,0,0,0,"8,112,422",0%
04/06/2024,10.4(-0.95 %),-700,-0.01,0,0,700,0.01,"8,112,422",0%
03/06/2024,10.5(1.94 %),0,0,0,0,0,0,"8,112,422",0%
31/05/2024,10.4(2.97 %),0,0,0,0,0,0,"8,112,422",35.48%
30/05/2024,10.1(0.00 %),0,0,0,0,0,0,"8,112,422",35.48%
