date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
09/09/2024,3,--,0(0.00 %),"140,749",0.42,0,0,3,3,2.9
06/09/2024,3,--,0(0.00 %),"172,847",0.52,0,0,3,3.1,2.9
05/09/2024,3,--,-0.1(-3.23 %),"276,523",0.83,0,0,3.1,3.1,3
04/09/2024,3.1,--,0.1(3.33 %),"347,901",1.04,0,0,3.1,3.1,3
30/08/2024,3,--,0(0.00 %),"438,406",1.32,0,0,3,3.1,3
29/08/2024,3,--,-0.1(-3.23 %),"356,325",1.08,0,0,3.1,3.1,3
28/08/2024,3.1,--,0(0.00 %),"245,014",0.75,0,0,3.1,3.1,3
27/08/2024,3.1,--,0(0.00 %),"460,314",1.4,0,0,3.1,3.2,3
26/08/2024,3.1,--,0(0.00 %),"549,532",1.7,0,0,3,3.2,3
23/08/2024,3.1,--,0(0.00 %),"203,217",0.61,0,0,3.1,3.1,3
22/08/2024,3.1,--,0.1(3.33 %),"158,852",0.49,0,0,3,3.1,3
21/08/2024,3,--,-0.1(-3.23 %),"138,399",0.42,0,0,3.1,3.1,3
20/08/2024,3.1,--,0(0.00 %),"500,058",1.55,0,0,3.1,3.2,3
19/08/2024,3.1,--,-0.1(-3.12 %),"422,254",1.31,0,0,3.2,3.2,3
16/08/2024,3.2,--,0.1(3.23 %),"89,980",0.28,0,0,3.1,3.2,3.1
15/08/2024,3.1,--,0.1(3.33 %),"1,242,731",3.9,0,0,3,3.3,3
14/08/2024,3,--,0(0.00 %),"188,790",0.57,0,0,3,3.1,3
13/08/2024,3,--,-0.1(-3.23 %),"88,323",0.27,0,0,3.1,3.1,3
12/08/2024,3.1,--,0(0.00 %),"135,984",0.41,0,0,3.1,3.1,3
09/08/2024,3.1,--,0(0.00 %),"205,009",0.62,0,0,3.1,3.1,3
09/08/2024,3.1,--,0(0.00 %),"205,009",0.62,0,0,3.1,3.1,3
08/08/2024,3.1,--,0(0.00 %),"83,975",0.26,0,0,3.1,3.1,3
07/08/2024,3.1,--,0(0.00 %),"286,022",0.88,0,0,3.1,3.1,3
06/08/2024,3.1,--,0.1(3.33 %),"391,894",1.18,0,0,3,3.1,2.9
05/08/2024,3,--,-0.2(-6.25 %),"671,696",2.04,0,0,3.2,3.2,3
02/08/2024,3.2,--,0.2(6.67 %),"399,779",1.24,0,0,3,3.2,3
01/08/2024,3,--,-0.2(-6.25 %),"933,818",2.89,0,0,3.2,3.2,3
31/07/2024,3.2,--,0(0.00 %),"768,801",2.46,0,0,3.3,3.3,3.2
30/07/2024,3.2,--,-0.1(-3.03 %),"267,252",0.88,0,0,3.3,3.4,3.2
29/07/2024,3.3,--,0(0.00 %),"87,896",0.29,0,0,3.3,3.4,3.3
26/07/2024,3.3,--,0(0.00 %),"150,237",0.5,0,0,3.3,3.4,3.3
25/07/2024,3.3,--,0(0.00 %),"282,420",0.93,0,0,3.3,3.3,3.2
24/07/2024,3.3,--,0(0.00 %),"348,385",1.14,0,0,3.3,3.4,3.2
23/07/2024,3.3,--,0(0.00 %),"287,151",0.94,0,0,3.4,3.4,3.2
22/07/2024,3.3,--,0(0.00 %),"467,692",1.54,0,0,3.3,3.4,3.2
19/07/2024,3.3,--,-0.1(-2.94 %),"926,696",3.07,0,0,3.4,3.4,3.3
18/07/2024,3.4,--,-0.1(-2.86 %),"1,034,586",3.51,0,0,3.5,3.5,3.3
17/07/2024,3.5,--,-0.1(-2.78 %),"968,039",3.45,0,0,3.7,3.7,3.4
16/07/2024,3.6,--,0.3(9.09 %),"4,046,183",14.44,0,0,3.4,3.6,3.3
15/07/2024,3.3,--,-0.1(-2.94 %),"933,038",3.1,0,0,3.4,3.5,3.2
12/07/2024,3.4,--,-0.1(-2.86 %),"270,596",0.92,0,0,3.5,3.5,3.4
11/07/2024,3.5,--,0.1(2.94 %),"311,558",1.06,0,0,3.4,3.5,3.4
10/07/2024,3.4,--,0(0.00 %),"257,980",0.88,0,0,3.4,3.5,3.3
09/07/2024,3.4,--,0(0.00 %),"252,179",0.86,0,0,3.4,3.5,3.4
08/07/2024,3.4,--,-0.1(-2.86 %),"181,993",0.62,0,0,3.4,3.5,3.4
05/07/2024,3.5,--,0.1(2.94 %),"402,127",1.36,0,0,3.4,3.5,3.3
04/07/2024,3.4,--,0(0.00 %),"126,503",0.43,0,0,3.4,3.5,3.4
03/07/2024,3.4,--,0(0.00 %),"83,770",0.29,0,0,3.4,3.5,3.4
02/07/2024,3.4,--,0(0.00 %),"418,036",1.42,0,0,3.4,3.5,3.4
01/07/2024,3.4,--,0(0.00 %),"224,295",0.77,0,0,3.4,3.5,3.4
28/06/2024,3.4,--,-0.1(-2.86 %),"338,027",1.15,0,0,3.5,3.5,3.4
27/06/2024,3.5,--,-0.1(-2.78 %),"203,463",0.71,0,0,3.5,3.5,3.4
26/06/2024,3.6,--,0.1(2.86 %),"216,403",0.76,0,0,3.5,3.6,3.4
25/06/2024,3.5,--,0.1(2.94 %),"319,530",1.11,0,0,3.4,3.5,3.4
24/06/2024,3.4,--,-0.1(-2.86 %),"575,863",2.02,0,0,3.5,3.6,3.4
21/06/2024,3.5,--,0(0.00 %),"686,898",2.41,0,0,3.5,3.6,3.5
20/06/2024,3.5,--,0(0.00 %),"396,775",1.4,0,0,3.5,3.6,3.5
19/06/2024,3.5,--,0(0.00 %),"394,004",1.38,0,0,3.5,3.6,3.4
18/06/2024,3.5,--,0(0.00 %),"381,627",1.34,0,0,3.6,3.6,3.5
17/06/2024,3.5,--,0(0.00 %),"691,419",2.42,0,0,3.5,3.6,3.4
14/06/2024,3.5,--,0(0.00 %),"644,822",2.26,0,0,3.5,3.6,3.5
13/06/2024,3.5,--,-0.1(-2.78 %),"655,367",2.35,0,0,3.6,3.7,3.5
12/06/2024,3.6,--,0(0.00 %),"459,728",1.65,0,0,3.6,3.6,3.5
11/06/2024,3.6,--,0(0.00 %),"333,702",1.2,0,0,3.5,3.7,3.5
10/06/2024,3.6,--,0(0.00 %),"503,855",1.82,0,0,3.6,3.7,3.5
07/06/2024,3.6,--,0(0.00 %),"697,515",2.51,0,0,3.6,3.7,3.5
06/06/2024,3.6,--,-0.1(-2.70 %),"917,164",3.31,0,0,3.7,3.7,3.5
05/06/2024,3.7,--,0.1(2.78 %),"822,692",2.98,0,0,3.6,3.7,3.6
04/06/2024,3.6,--,0(0.00 %),"1,606,710",5.77,0,0,3.7,3.7,3.5
03/06/2024,3.6,--,-0.1(-2.70 %),"873,908",3.21,0,0,3.7,3.8,3.6
31/05/2024,3.7,--,0.1(2.78 %),"1,441,664",5.31,0,0,3.6,3.8,3.6
30/05/2024,3.6,--,0.1(2.86 %),"3,226,549",11.78,0,0,3.6,3.8,3.5
29/05/2024,3.5,--,0(0.00 %),"522,679",1.84,0,0,3.5,3.6,3.5
28/05/2024,3.5,--,0(0.00 %),"452,542",1.59,0,0,3.5,3.6,3.5
27/05/2024,3.5,--,0(0.00 %),"660,471",2.31,0,0,3.5,3.6,3.5
24/05/2024,3.5,--,-0.1(-2.78 %),"2,270,599",8.02,0,0,3.6,3.6,3.4
23/05/2024,3.6,--,0.1(2.86 %),"1,485,483",5.35,0,0,3.5,3.7,3.5
22/05/2024,3.5,--,0(0.00 %),"947,977",3.34,0,0,3.5,3.6,3.5
21/05/2024,3.5,--,0.1(2.94 %),"1,515,165",5.32,0,0,3.4,3.6,3.4
20/05/2024,3.4,--,-0.1(-2.86 %),"1,658,164",5.79,0,0,3.5,3.6,3.4
17/05/2024,3.5,--,0.1(2.94 %),"929,034",3.17,0,0,3.4,3.5,3.4
16/05/2024,3.4,--,0(0.00 %),"673,357",2.29,0,0,3.4,3.5,3.3
15/05/2024,3.4,--,-0.1(-2.86 %),"1,397,339",4.81,0,0,3.5,3.6,3.4
14/05/2024,3.5,--,0.1(2.94 %),"1,464,321",5.14,0,0,3.4,3.6,3.4
13/05/2024,3.4,--,-0.1(-2.86 %),"1,185,273",4.08,0,0,3.5,3.6,3.4
10/05/2024,3.5,--,0.1(2.94 %),"1,589,836",5.54,0,0,3.4,3.6,3.3
09/05/2024,3.4,--,0.1(3.03 %),"1,150,296",3.82,0,0,3.3,3.4,3.2
08/05/2024,3.3,--,0(0.00 %),"441,914",1.45,0,0,3.3,3.4,3.2
07/05/2024,3.3,--,0(0.00 %),"936,052",3.09,0,0,3.3,3.4,3.2
06/05/2024,3.3,--,0.1(3.12 %),"272,912",0.88,0,0,3.2,3.3,3.2
03/05/2024,3.2,--,0(0.00 %),"225,566",0.72,0,0,3.2,3.3,3.2
02/05/2024,3.2,--,0.1(3.23 %),"466,331",1.49,0,0,3.1,3.3,3.1
26/04/2024,3.1,--,-0.1(-3.12 %),"821,031",2.56,0,0,3.1,3.2,3.1
25/04/2024,3.2,--,-0.1(-3.03 %),"343,566",1.1,0,0,3.3,3.3,3.2
24/04/2024,3.3,--,0.2(6.45 %),"721,619",2.31,0,0,3.2,3.3,3.1
23/04/2024,3.1,--,-0.1(-3.12 %),"415,656",1.32,0,0,3.3,3.3,3.1
22/04/2024,3.2,--,0.1(3.23 %),"730,632",2.35,0,0,3.2,3.3,3.1
19/04/2024,3.1,--,-0.1(-3.12 %),"742,182",2.3,0,0,3.1,3.2,3
17/04/2024,3.2,--,-0.1(-3.03 %),"2,525,112",7.92,0,0,3.3,3.3,3
16/04/2024,3.3,--,0(0.00 %),"1,311,830",4.24,0,0,3.3,3.4,3.1
15/04/2024,3.3,--,-0.2(-5.71 %),"1,277,039",4.36,0,0,3.5,3.6,3.3
12/04/2024,3.5,--,0(0.00 %),"840,384",2.95,0,0,3.5,3.6,3.5
11/04/2024,3.5,--,0(0.00 %),"587,871",2.06,0,0,3.5,3.6,3.5
10/04/2024,3.5,--,0(0.00 %),"324,137",1.14,0,0,3.5,3.6,3.5
09/04/2024,3.5,--,-0.1(-2.78 %),"2,176,730",7.61,0,0,3.6,3.7,3.4
08/04/2024,3.6,--,0(0.00 %),"703,908",2.54,0,0,3.6,3.7,3.6
05/04/2024,3.6,--,-0.2(-5.26 %),"3,400,301",12.36,0,0,3.7,3.7,3.5
04/04/2024,3.8,--,0(0.00 %),"867,297",3.29,0,0,3.8,3.9,3.7
03/04/2024,3.8,--,0(0.00 %),"894,625",3.4,0,0,3.8,3.9,3.8
02/04/2024,3.8,--,0(0.00 %),"862,861",3.28,0,0,3.8,3.9,3.7
01/04/2024,3.8,--,0(0.00 %),"1,407,386",5.37,0,0,3.9,3.9,3.8
29/03/2024,3.8,--,-0.1(-2.56 %),"571,422",2.22,0,0,3.9,4,3.8
28/03/2024,3.9,--,-0.1(-2.50 %),"2,377,050",9.29,0,0,4,4,3.8
27/03/2024,4,--,-0.1(-2.44 %),"1,251,411",5.02,0,0,4,4.1,3.9
26/03/2024,4.1,--,0.3(7.89 %),"6,962,483",27.6,0,0,3.8,4.1,3.8
25/03/2024,3.8,--,0(0.00 %),"2,038,100",7.75,0,0,3.9,3.9,3.8
22/03/2024,3.8,--,0(0.00 %),"1,257,680",4.79,0,0,3.8,3.9,3.8
21/03/2024,3.8,--,-0.1(-2.56 %),"2,319,359",8.82,0,0,3.9,3.9,3.8
20/03/2024,3.9,--,0.1(2.63 %),"523,508",2,0,0,3.9,3.9,3.8
19/03/2024,3.8,--,-0.1(-2.56 %),"438,843",1.67,0,0,3.8,3.9,3.8
18/03/2024,3.9,--,0(0.00 %),"2,271,120",8.64,0,0,3.9,3.9,3.7
15/03/2024,3.9,--,0(0.00 %),"455,727",1.75,0,0,3.9,3.9,3.8
14/03/2024,3.9,--,0(0.00 %),"1,261,667",4.92,0,0,3.9,4,3.8
13/03/2024,3.9,--,0(0.00 %),"480,320",1.85,0,0,3.9,3.9,3.8
12/03/2024,3.9,--,0(0.00 %),"463,143",1.78,0,0,3.9,3.9,3.8
11/03/2024,3.9,--,0(0.00 %),"744,985",2.9,0,0,3.9,4,3.8
