ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
fpt,2024-08-15,175500,22.58,242900,31.31,-67400,-8.73
fpt,2024-08-14,158300,20.56,228300,29.69,-70000,-9.13
fpt,2024-08-13,290400,37.5,221000,28.57,69400,8.92
fpt,2024-08-12,349100,45.13,521800,66.82,-172700,-21.68
fpt,2024-08-09,138900,17.37,154200,19.22,-15300,-1.86
fpt,2024-08-08,81500,9.89,307900,37.49,-226400,-27.6
fpt,2024-08-07,98500,11.89,445800,53.89,-347300,-41.99
fpt,2024-08-06,805200,97.11,252300,30.58,552900,66.53
fpt,2024-08-05,387500,46.35,1009300,122.09,-621800,-75.73
fpt,2024-08-02,265600,32.62,522400,64.18,-256800,-31.56
fpt,2024-08-01,993600,125.38,315000,39.41,678600,85.97
fpt,2024-07-31,75800,9.69,440000,56.04,-364200,-46.36
fpt,2024-07-30,153800,19.66,203800,26.14,-50000,-6.48
fpt,2024-07-29,77000,9.97,256700,33.32,-179700,-23.34
fpt,2024-07-26,75700,9.48,444900,55.99,-369200,-46.5
fpt,2024-07-25,220700,27.55,307700,38.42,-87000,-10.87
fpt,2024-07-24,1026900,128.94,279400,35.05,747500,93.88
fpt,2024-07-23,715300,90.57,356800,45.21,358500,45.36
fpt,2024-07-22,790700,98.18,369700,46.05,421000,52.13
fpt,2024-07-19,458800,58.13,284900,36.39,173900,21.75
fpt,2024-07-18,735100,94.55,647400,83.19,87700,11.36
fpt,2024-07-17,419800,55.52,432600,57.34,-12800,-1.82
fpt,2024-07-16,308100,41.04,339700,45.22,-31600,-4.19
fpt,2024-07-15,76800,10.24,218200,29.08,-141400,-18.85
fpt,2024-07-12,317300,42.56,297200,39.84,20100,2.72
fpt,2024-07-11,690500,92.35,25400,3.38,665100,88.97
fpt,2024-07-10,514100,69.74,157400,21.33,356700,48.41
fpt,2024-07-09,864000,118.26,181000,24.78,683000,93.48
fpt,2024-07-08,120900,16.82,812500,112.76,-691600,-95.95
fpt,2024-07-05,197600,27.39,612900,84.86,-415300,-57.48
fpt,2024-07-04,81000,10.83,450200,60.09,-369200,-49.26
fpt,2024-07-03,57500,7.57,974100,128.05,-916600,-120.48
fpt,2024-07-02,41000,5.37,1011000,131.57,-970000,-126.19
fpt,2024-07-01,207900,26.84,244900,31.6,-37000,-4.76
