date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
2024-09-12,9.68,N/A,0.83,1681700,16.36,0,0.0,9.8,9.8,9.66,aaa
2024-09-11,9.6,N/A,-1.23,3108400,29.92,0,0.0,9.72,9.72,9.58,aaa
2024-09-10,9.72,N/A,-0.82,2438300,23.82,0,0.0,9.8,9.85,9.71,aaa
2024-09-09,9.8,N/A,-1.01,3423700,33.49,0,0.0,9.7,9.89,9.7,aaa
2024-09-06,9.9,N/A,-1.98,7338600,73.04,0,0.0,10.1,10.15,9.85,aaa
2024-09-05,10.1,N/A,0.0,3063500,31.18,0,0.0,10.1,10.35,10.1,aaa
2024-09-04,10.1,N/A,0.0,3333000,33.55,0,0.0,10.05,10.15,9.97,aaa
2024-08-30,10.1,N/A,0.5,1967900,19.91,0,0.0,10.15,10.2,10.05,aaa
2024-08-29,10.05,N/A,-0.99,2373600,23.99,0,0.0,10.2,10.2,10.05,aaa
2024-08-28,10.15,N/A,-0.49,2466600,25.1,0,0.0,10.25,10.25,10.1,aaa
2024-08-27,10.2,N/A,2.0,3403400,34.66,0,0.0,10.2,10.3,10.1,aaa
2024-08-26,10.0,N/A,-3.38,12219400,124.05,0,0.0,10.3,10.35,10.0,aaa
2024-08-23,10.35,N/A,-2.82,14593600,150.71,0,0.0,10.55,10.6,10.15,aaa
2024-08-22,10.65,N/A,-0.93,3877100,41.19,0,0.0,10.75,10.8,10.55,aaa
2024-08-21,10.75,N/A,-0.46,3864500,41.36,0,0.0,10.7,10.8,10.6,aaa
2024-08-20,10.8,N/A,1.41,5622200,60.4,0,0.0,10.65,10.85,10.6,aaa
2024-08-19,10.65,N/A,0.47,3677600,39.33,0,0.0,10.65,10.8,10.6,aaa
2024-08-16,10.6,N/A,4.43,4917000,51.54,0,0.0,10.25,10.65,10.25,aaa
2024-08-15,10.15,N/A,-2.4,4295100,43.93,0,0.0,10.4,10.45,10.05,aaa
2024-08-14,10.4,N/A,-0.95,3149400,32.99,0,0.0,10.6,10.6,10.4,aaa
2024-08-14,10.4,N/A,-0.95,3149400,32.99,0,0.0,10.6,10.6,10.4,aaa
2024-08-13,10.5,N/A,0.48,3049900,32.02,0,0.0,10.5,10.6,10.4,aaa
2024-08-12,10.45,N/A,0.97,4558000,47.35,0,0.0,10.4,10.5,10.3,aaa
2024-08-09,10.35,N/A,0.49,6630600,68.92,0,0.0,10.5,10.6,10.3,aaa
