date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-08-15,615600,79.2,817300,105.19,201700,25.99,55387610,0.0,fpt
2024-08-14,372800,48.41,952100,123.68,579300,75.27,56003210,0.0,fpt
2024-08-13,624300,80.91,1515700,195.96,891400,115.05,56376010,0.0,fpt
2024-08-12,1167600,150.24,2168400,279.33,1000800,129.09,57000310,45.1,fpt
2024-08-09,1275918,159.49,2591992,324.17,1316074,164.69,58327789,45.01,fpt
2024-08-08,22200,2.56,919200,111.77,897000,109.21,58670264,0.0,fpt
2024-08-07,302700,36.96,1007600,122.05,704900,85.09,58692464,0.0,fpt
2024-08-06,-916700,-110.47,1439000,173.73,2355700,284.2,58995164,0.0,fpt
2024-08-05,-737800,-88.91,2134200,257.0,2872000,345.91,58078464,0.0,fpt
2024-08-02,254700,31.71,1436700,176.67,1182000,144.96,57340664,0.0,fpt
2024-08-01,-1283700,-163.17,759000,96.0,2042700,259.17,57595364,0.0,fpt
2024-07-31,670700,86.02,1427700,182.7,757000,96.68,56118397,0.0,fpt
2024-07-30,403200,52.38,2038800,264.71,1635600,212.33,56789097,0.0,fpt
2024-07-29,403200,52.38,2038800,264.71,1635600,212.33,57192297,45.08,fpt
2024-07-24,-616900,-77.38,851500,106.82,1468400,184.2,58033170,45.03,fpt
2024-07-23,11499,1.37,1080961,137.06,1069462,135.68,57412334,45.07,fpt
2024-07-22,497200,61.31,1989600,247.0,1492400,185.69,56263395,45.15,fpt
2024-07-19,-1792800,-228.15,428100,54.17,2220900,282.32,54449861,45.27,fpt
2024-07-18,-2731000,-352.0,1061600,136.94,3792600,488.94,53875211,45.31,fpt
2024-07-17,1232100,161.53,2234900,294.59,1002800,133.06,53771380,45.32,fpt
2024-07-16,460000,61.26,1625500,216.56,1165500,155.29,55004105,45.23,fpt
2024-07-15,-133900,-18.14,868300,115.5,1002200,133.64,54211887,44.73,fpt
2024-07-12,-360600,-48.43,559400,74.77,920000,123.2,51058320,44.98,fpt
2024-07-11,-2976100,-397.36,1003900,134.24,3980000,531.6,48706339,45.16,fpt
2024-07-10,-2525300,-342.81,386200,52.4,2911500,395.22,43649442,45.56,fpt
2024-07-08,-1895600,-263.17,692300,96.23,2587900,359.4,39710815,45.87,fpt
2024-07-05,-1956000,-270.99,821000,113.4,2777000,384.39,39259899,45.91,fpt
2024-07-04,161400,22.33,1283400,172.28,1122000,149.95,38771283,45.95,fpt
2024-07-03,-89500,-11.75,1178100,155.15,1267600,166.9,38528663,45.97,fpt
2024-07-02,351400,46.38,1855600,242.01,1504200,195.63,37596273,46.04,fpt
2024-07-01,-1928900,-248.91,271500,35.07,2200400,283.99,36780662,46.1,fpt
